date,Calcio_unscaled,Calcio_monthly,isPartial,scale,Calcio
2014-02-21,43,65.0,,0.65,27.95
2014-02-22,74,65.0,,0.65,48.1
2014-02-23,95,65.0,,0.65,61.75
2014-02-24,58,65.0,,0.65,37.7
2014-02-25,44,65.0,,0.65,28.6
2014-02-26,44,65.0,,0.65,28.6
2014-02-27,49,65.0,,0.65,31.85
2014-02-28,45,65.0,,0.65,29.25
2014-03-01,73,69.0,False,0.69,50.37
2014-03-02,97,69.0,,0.69,66.92999999999999
2014-03-03,50,69.0,,0.69,34.5
2014-03-04,42,69.0,,0.69,28.979999999999997
2014-03-05,47,69.0,,0.69,32.43
2014-03-06,42,69.0,,0.69,28.979999999999997
2014-03-07,46,69.0,,0.69,31.74
2014-03-08,72,69.0,,0.69,49.67999999999999
2014-03-09,98,69.0,,0.69,67.61999999999999
2014-03-10,53,69.0,,0.69,36.57
2014-03-11,52,69.0,,0.69,35.879999999999995
2014-03-12,45,69.0,,0.69,31.049999999999997
2014-03-13,50,69.0,,0.69,34.5
2014-03-14,43,69.0,,0.69,29.669999999999998
2014-03-15,71,69.0,,0.69,48.989999999999995
2014-03-16,100,69.0,,0.69,69.0
2014-03-17,63,69.0,,0.69,43.47
2014-03-18,46,69.0,,0.69,31.74
2014-03-19,45,69.0,,0.69,31.049999999999997
2014-03-20,56,69.0,,0.69,38.64
2014-03-21,46,69.0,,0.69,31.74
2014-03-22,69,69.0,,0.69,47.61
2014-03-23,96,69.0,,0.69,66.24
2014-03-24,56,69.0,,0.69,38.64
2014-03-25,51,69.0,,0.69,35.19
2014-03-26,62,69.0,,0.69,42.779999999999994
2014-03-27,46,69.0,,0.69,31.74
2014-03-28,45,69.0,,0.69,31.049999999999997
2014-03-29,74,69.0,,0.69,51.059999999999995
2014-03-30,98,69.0,,0.69,67.61999999999999
2014-03-31,59,69.0,,0.69,40.709999999999994
2014-04-01,47,64.0,False,0.64,30.080000000000002
2014-04-02,48,64.0,,0.64,30.72
2014-04-03,45,64.0,,0.64,28.8
2014-04-04,45,64.0,,0.64,28.8
2014-04-05,71,64.0,,0.64,45.44
2014-04-06,100,64.0,,0.64,64.0
2014-04-07,60,64.0,,0.64,38.4
2014-04-08,49,64.0,,0.64,31.36
2014-04-09,46,64.0,,0.64,29.44
2014-04-10,45,64.0,,0.64,28.8
2014-04-11,47,64.0,,0.64,30.080000000000002
2014-04-12,73,64.0,,0.64,46.72
2014-04-13,91,64.0,,0.64,58.24
2014-04-14,56,64.0,,0.64,35.84
2014-04-15,45,64.0,,0.64,28.8
2014-04-16,47,64.0,,0.64,30.080000000000002
2014-04-17,52,64.0,,0.64,33.28
2014-04-18,49,64.0,,0.64,31.36
2014-04-19,75,64.0,,0.64,48.0
2014-04-20,46,64.0,,0.64,29.44
2014-04-21,46,64.0,,0.64,29.44
2014-04-22,47,64.0,,0.64,30.080000000000002
2014-04-23,43,64.0,,0.64,27.52
2014-04-24,47,64.0,,0.64,30.080000000000002
2014-04-25,60,64.0,,0.64,38.4
2014-04-26,72,64.0,,0.64,46.08
2014-04-27,88,64.0,,0.64,56.32
2014-04-28,58,64.0,,0.64,37.12
2014-04-29,52,64.0,,0.64,33.28
2014-04-30,48,64.0,,0.64,30.72
2014-05-01,53,69.0,False,0.69,36.57
2014-05-02,47,69.0,,0.69,32.43
2014-05-03,72,69.0,,0.69,49.67999999999999
2014-05-04,100,69.0,,0.69,69.0
2014-05-05,60,69.0,,0.69,41.4
2014-05-06,54,69.0,,0.69,37.26
2014-05-07,47,69.0,,0.69,32.43
2014-05-08,43,69.0,,0.69,29.669999999999998
2014-05-09,46,69.0,,0.69,31.74
2014-05-10,67,69.0,,0.69,46.23
2014-05-11,94,69.0,,0.69,64.86
2014-05-12,53,69.0,,0.69,36.57
2014-05-13,48,69.0,,0.69,33.12
2014-05-14,51,69.0,,0.69,35.19
2014-05-15,46,69.0,,0.69,31.74
2014-05-16,45,69.0,,0.69,31.049999999999997
2014-05-17,63,69.0,,0.69,43.47
2014-05-18,85,69.0,,0.69,58.65
2014-05-19,56,69.0,,0.69,38.64
2014-05-20,47,69.0,,0.69,32.43
2014-05-21,44,69.0,,0.69,30.36
2014-05-22,45,69.0,,0.69,31.049999999999997
2014-05-23,46,69.0,,0.69,31.74
2014-05-24,61,69.0,,0.69,42.089999999999996
2014-05-25,66,69.0,,0.69,45.54
2014-05-26,44,69.0,,0.69,30.36
2014-05-27,43,69.0,,0.69,29.669999999999998
2014-05-28,45,69.0,,0.69,31.049999999999997
2014-05-29,44,69.0,,0.69,30.36
2014-05-30,54,69.0,,0.69,37.26
2014-05-31,63,69.0,,0.69,43.47
2014-06-01,65,80.0,False,0.8,52.0
2014-06-02,58,80.0,,0.8,46.400000000000006
2014-06-03,53,80.0,,0.8,42.400000000000006
2014-06-04,54,80.0,,0.8,43.2
2014-06-05,51,80.0,,0.8,40.800000000000004
2014-06-06,53,80.0,,0.8,42.400000000000006
2014-06-07,64,80.0,,0.8,51.2
2014-06-08,74,80.0,,0.8,59.2
2014-06-09,53,80.0,,0.8,42.400000000000006
2014-06-10,52,80.0,,0.8,41.6
2014-06-11,66,80.0,,0.8,52.800000000000004
2014-06-12,77,80.0,,0.8,61.6
2014-06-13,74,80.0,,0.8,59.2
2014-06-14,96,80.0,,0.8,76.80000000000001
2014-06-15,100,80.0,,0.8,80.0
2014-06-16,69,80.0,,0.8,55.2
2014-06-17,67,80.0,,0.8,53.6
2014-06-18,71,80.0,,0.8,56.800000000000004
2014-06-19,73,80.0,,0.8,58.400000000000006
2014-06-20,84,80.0,,0.8,67.2
2014-06-21,73,80.0,,0.8,58.400000000000006
2014-06-22,68,80.0,,0.8,54.400000000000006
2014-06-23,62,80.0,,0.8,49.6
2014-06-24,76,80.0,,0.8,60.800000000000004
2014-06-25,64,80.0,,0.8,51.2
2014-06-26,61,80.0,,0.8,48.800000000000004
2014-06-27,52,80.0,,0.8,41.6
2014-06-28,67,80.0,,0.8,53.6
2014-06-29,66,80.0,,0.8,52.800000000000004
2014-06-30,59,80.0,,0.8,47.2
2014-07-01,73,67.0,False,0.67,48.910000000000004
2014-07-02,60,67.0,,0.67,40.2
2014-07-03,56,67.0,,0.67,37.52
2014-07-04,77,67.0,,0.67,51.59
2014-07-05,84,67.0,,0.67,56.28
2014-07-06,64,67.0,,0.67,42.88
2014-07-07,56,67.0,,0.67,37.52
2014-07-08,70,67.0,,0.67,46.900000000000006
2014-07-09,77,67.0,,0.67,51.59
2014-07-10,62,67.0,,0.67,41.54
2014-07-11,58,67.0,,0.67,38.86
2014-07-12,70,67.0,,0.67,46.900000000000006
2014-07-13,100,67.0,,0.67,67.0
2014-07-14,64,67.0,,0.67,42.88
2014-07-15,67,67.0,,0.67,44.89
2014-07-16,68,67.0,,0.67,45.56
2014-07-17,60,67.0,,0.67,40.2
2014-07-18,58,67.0,,0.67,38.86
2014-07-19,64,67.0,,0.67,42.88
2014-07-20,65,67.0,,0.67,43.550000000000004
2014-07-21,56,67.0,,0.67,37.52
2014-07-22,57,67.0,,0.67,38.190000000000005
2014-07-23,57,67.0,,0.67,38.190000000000005
2014-07-24,58,67.0,,0.67,38.86
2014-07-25,59,67.0,,0.67,39.53
2014-07-26,60,67.0,,0.67,40.2
2014-07-27,60,67.0,,0.67,40.2
2014-07-28,62,67.0,,0.67,41.54
2014-07-29,58,67.0,,0.67,38.86
2014-07-30,62,67.0,,0.67,41.54
2014-07-31,60,67.0,,0.67,40.2
2014-08-01,44,76.0,False,0.76,33.44
2014-08-02,56,76.0,,0.76,42.56
2014-08-03,51,76.0,,0.76,38.76
2014-08-04,46,76.0,,0.76,34.96
2014-08-05,46,76.0,,0.76,34.96
2014-08-06,50,76.0,,0.76,38.0
2014-08-07,44,76.0,,0.76,33.44
2014-08-08,48,76.0,,0.76,36.480000000000004
2014-08-09,52,76.0,,0.76,39.52
2014-08-10,57,76.0,,0.76,43.32
2014-08-11,53,76.0,,0.76,40.28
2014-08-12,46,76.0,,0.76,34.96
2014-08-13,46,76.0,,0.76,34.96
2014-08-14,48,76.0,,0.76,36.480000000000004
2014-08-15,47,76.0,,0.76,35.72
2014-08-16,55,76.0,,0.76,41.8
2014-08-17,62,76.0,,0.76,47.12
2014-08-18,57,76.0,,0.76,43.32
2014-08-19,63,76.0,,0.76,47.88
2014-08-20,57,76.0,,0.76,43.32
2014-08-21,53,76.0,,0.76,40.28
2014-08-22,53,76.0,,0.76,40.28
2014-08-23,65,76.0,,0.76,49.4
2014-08-24,66,76.0,,0.76,50.160000000000004
2014-08-25,55,76.0,,0.76,41.8
2014-08-26,54,76.0,,0.76,41.04
2014-08-27,58,76.0,,0.76,44.08
2014-08-28,64,76.0,,0.76,48.64
2014-08-29,67,76.0,,0.76,50.92
2014-08-30,91,76.0,,0.76,69.16
2014-08-31,100,76.0,,0.76,76.0
