date,Fitness_unscaled,Fitness_monthly,isPartial,scale,Fitness
2014-02-21,76,49.0,,0.49,37.24
2014-02-22,49,49.0,,0.49,24.009999999999998
2014-02-23,70,49.0,,0.49,34.3
2014-02-24,73,49.0,,0.49,35.769999999999996
2014-02-25,77,49.0,,0.49,37.73
2014-02-26,80,49.0,,0.49,39.2
2014-02-27,83,49.0,,0.49,40.67
2014-02-28,76,49.0,,0.49,37.24
2014-03-01,94,49.0,False,0.49,46.06
2014-03-02,93,49.0,,0.49,45.57
2014-03-03,94,49.0,,0.49,46.06
2014-03-04,100,49.0,,0.49,49.0
2014-03-05,90,49.0,,0.49,44.1
2014-03-06,88,49.0,,0.49,43.12
2014-03-07,90,49.0,,0.49,44.1
2014-03-08,88,49.0,,0.49,43.12
2014-03-09,79,49.0,,0.49,38.71
2014-03-10,95,49.0,,0.49,46.55
2014-03-11,93,49.0,,0.49,45.57
2014-03-12,85,49.0,,0.49,41.65
2014-03-13,78,49.0,,0.49,38.22
2014-03-14,82,49.0,,0.49,40.18
2014-03-15,66,49.0,,0.49,32.339999999999996
2014-03-16,87,49.0,,0.49,42.63
2014-03-17,88,49.0,,0.49,43.12
2014-03-18,97,49.0,,0.49,47.53
2014-03-19,91,49.0,,0.49,44.589999999999996
2014-03-20,79,49.0,,0.49,38.71
2014-03-21,83,49.0,,0.49,40.67
2014-03-22,74,49.0,,0.49,36.26
2014-03-23,92,49.0,,0.49,45.08
2014-03-24,98,49.0,,0.49,48.019999999999996
2014-03-25,91,49.0,,0.49,44.589999999999996
2014-03-26,95,49.0,,0.49,46.55
2014-03-27,92,49.0,,0.49,45.08
2014-03-28,93,49.0,,0.49,45.57
2014-03-29,80,49.0,,0.49,39.2
2014-03-30,91,49.0,,0.49,44.589999999999996
2014-03-31,84,49.0,,0.49,41.16
2014-04-01,97,47.0,False,0.47,45.589999999999996
2014-04-02,83,47.0,,0.47,39.01
2014-04-03,80,47.0,,0.47,37.599999999999994
2014-04-04,70,47.0,,0.47,32.9
2014-04-05,58,47.0,,0.47,27.259999999999998
2014-04-06,81,47.0,,0.47,38.07
2014-04-07,87,47.0,,0.47,40.89
2014-04-08,100,47.0,,0.47,47.0
2014-04-09,83,47.0,,0.47,39.01
2014-04-10,88,47.0,,0.47,41.36
2014-04-11,66,47.0,,0.47,31.02
2014-04-12,89,47.0,,0.47,41.83
2014-04-13,76,47.0,,0.47,35.72
2014-04-14,88,47.0,,0.47,41.36
2014-04-15,70,47.0,,0.47,32.9
2014-04-16,79,47.0,,0.47,37.129999999999995
2014-04-17,83,47.0,,0.47,39.01
2014-04-18,72,47.0,,0.47,33.839999999999996
2014-04-19,83,47.0,,0.47,39.01
2014-04-20,43,47.0,,0.47,20.209999999999997
2014-04-21,99,47.0,,0.47,46.529999999999994
2014-04-22,81,47.0,,0.47,38.07
2014-04-23,72,47.0,,0.47,33.839999999999996
2014-04-24,64,47.0,,0.47,30.08
2014-04-25,69,47.0,,0.47,32.43
2014-04-26,60,47.0,,0.47,28.2
2014-04-27,74,47.0,,0.47,34.78
2014-04-28,77,47.0,,0.47,36.19
2014-04-29,87,47.0,,0.47,40.89
2014-04-30,93,47.0,,0.47,43.71
2014-05-01,71,50.0,False,0.5,35.5
2014-05-02,78,50.0,,0.5,39.0
2014-05-03,72,50.0,,0.5,36.0
2014-05-04,59,50.0,,0.5,29.5
2014-05-05,81,50.0,,0.5,40.5
2014-05-06,85,50.0,,0.5,42.5
2014-05-07,88,50.0,,0.5,44.0
2014-05-08,73,50.0,,0.5,36.5
2014-05-09,75,50.0,,0.5,37.5
2014-05-10,81,50.0,,0.5,40.5
2014-05-11,74,50.0,,0.5,37.0
2014-05-12,86,50.0,,0.5,43.0
2014-05-13,86,50.0,,0.5,43.0
2014-05-14,76,50.0,,0.5,38.0
2014-05-15,83,50.0,,0.5,41.5
2014-05-16,74,50.0,,0.5,37.0
2014-05-17,85,50.0,,0.5,42.5
2014-05-18,55,50.0,,0.5,27.5
2014-05-19,79,50.0,,0.5,39.5
2014-05-20,82,50.0,,0.5,41.0
2014-05-21,89,50.0,,0.5,44.5
2014-05-22,72,50.0,,0.5,36.0
2014-05-23,69,50.0,,0.5,34.5
2014-05-24,75,50.0,,0.5,37.5
2014-05-25,69,50.0,,0.5,34.5
2014-05-26,69,50.0,,0.5,34.5
2014-05-27,100,50.0,,0.5,50.0
2014-05-28,81,50.0,,0.5,40.5
2014-05-29,73,50.0,,0.5,36.5
2014-05-30,83,50.0,,0.5,41.5
2014-05-31,96,50.0,,0.5,48.0
2014-06-01,90,44.0,False,0.44,39.6
2014-06-02,100,44.0,,0.44,44.0
2014-06-03,79,44.0,,0.44,34.76
2014-06-04,84,44.0,,0.44,36.96
2014-06-05,72,44.0,,0.44,31.68
2014-06-06,69,44.0,,0.44,30.36
2014-06-07,63,44.0,,0.44,27.72
2014-06-08,94,44.0,,0.44,41.36
2014-06-09,68,44.0,,0.44,29.92
2014-06-10,74,44.0,,0.44,32.56
2014-06-11,69,44.0,,0.44,30.36
2014-06-12,58,44.0,,0.44,25.52
2014-06-13,60,44.0,,0.44,26.4
2014-06-14,71,44.0,,0.44,31.24
2014-06-15,78,44.0,,0.44,34.32
2014-06-16,67,44.0,,0.44,29.48
2014-06-17,70,44.0,,0.44,30.8
2014-06-18,50,44.0,,0.44,22.0
2014-06-19,73,44.0,,0.44,32.12
2014-06-20,57,44.0,,0.44,25.080000000000002
2014-06-21,72,44.0,,0.44,31.68
2014-06-22,57,44.0,,0.44,25.080000000000002
2014-06-23,59,44.0,,0.44,25.96
2014-06-24,73,44.0,,0.44,32.12
2014-06-25,91,44.0,,0.44,40.04
2014-06-26,82,44.0,,0.44,36.08
2014-06-27,69,44.0,,0.44,30.36
2014-06-28,74,44.0,,0.44,32.56
2014-06-29,65,44.0,,0.44,28.6
2014-06-30,68,44.0,,0.44,29.92
2014-07-01,87,43.0,False,0.43,37.41
2014-07-02,91,43.0,,0.43,39.13
