date,Pesca_unscaled,Pesca_monthly,isPartial,scale,Pesca
2014-02-21,86,51.0,,0.51,43.86
2014-02-22,98,51.0,,0.51,49.980000000000004
2014-02-23,89,51.0,,0.51,45.39
2014-02-24,84,51.0,,0.51,42.84
2014-02-25,87,51.0,,0.51,44.37
2014-02-26,77,51.0,,0.51,39.27
2014-02-27,74,51.0,,0.51,37.74
2014-02-28,88,51.0,,0.51,44.88
2014-03-01,77,58.0,False,0.58,44.66
2014-03-02,72,58.0,,0.58,41.76
2014-03-03,73,58.0,,0.58,42.339999999999996
2014-03-04,75,58.0,,0.58,43.5
2014-03-05,66,58.0,,0.58,38.279999999999994
2014-03-06,81,58.0,,0.58,46.98
2014-03-07,73,58.0,,0.58,42.339999999999996
2014-03-08,84,58.0,,0.58,48.72
2014-03-09,77,58.0,,0.58,44.66
2014-03-10,83,58.0,,0.58,48.13999999999999
2014-03-11,71,58.0,,0.58,41.18
2014-03-12,76,58.0,,0.58,44.08
2014-03-13,71,58.0,,0.58,41.18
2014-03-14,74,58.0,,0.58,42.919999999999995
2014-03-15,91,58.0,,0.58,52.779999999999994
2014-03-16,100,58.0,,0.58,57.99999999999999
2014-03-17,75,58.0,,0.58,43.5
2014-03-18,69,58.0,,0.58,40.019999999999996
2014-03-19,75,58.0,,0.58,43.5
2014-03-20,67,58.0,,0.58,38.86
2014-03-21,78,58.0,,0.58,45.239999999999995
2014-03-22,83,58.0,,0.58,48.13999999999999
2014-03-23,82,58.0,,0.58,47.559999999999995
2014-03-24,76,58.0,,0.58,44.08
2014-03-25,72,58.0,,0.58,41.76
2014-03-26,68,58.0,,0.58,39.44
2014-03-27,78,58.0,,0.58,45.239999999999995
2014-03-28,72,58.0,,0.58,41.76
2014-03-29,88,58.0,,0.58,51.04
2014-03-30,86,58.0,,0.58,49.879999999999995
2014-03-31,71,58.0,,0.58,41.18
2014-04-01,69,64.0,False,0.64,44.160000000000004
2014-04-02,56,64.0,,0.64,35.84
2014-04-03,68,64.0,,0.64,43.52
2014-04-04,63,64.0,,0.64,40.32
2014-04-05,88,64.0,,0.64,56.32
2014-04-06,72,64.0,,0.64,46.08
2014-04-07,68,64.0,,0.64,43.52
2014-04-08,69,64.0,,0.64,44.160000000000004
2014-04-09,59,64.0,,0.64,37.76
2014-04-10,70,64.0,,0.64,44.800000000000004
2014-04-11,73,64.0,,0.64,46.72
2014-04-12,73,64.0,,0.64,46.72
2014-04-13,77,64.0,,0.64,49.28
2014-04-14,64,64.0,,0.64,40.96
2014-04-15,73,64.0,,0.64,46.72
2014-04-16,77,64.0,,0.64,49.28
2014-04-17,66,64.0,,0.64,42.24
2014-04-18,71,64.0,,0.64,45.44
2014-04-19,84,64.0,,0.64,53.76
2014-04-20,87,64.0,,0.64,55.68
2014-04-21,89,64.0,,0.64,56.96
2014-04-22,77,64.0,,0.64,49.28
2014-04-23,81,64.0,,0.64,51.84
2014-04-24,84,64.0,,0.64,53.76
2014-04-25,88,64.0,,0.64,56.32
2014-04-26,100,64.0,,0.64,64.0
2014-04-27,86,64.0,,0.64,55.04
2014-04-28,78,64.0,,0.64,49.92
2014-04-29,78,64.0,,0.64,49.92
2014-04-30,70,64.0,,0.64,44.800000000000004
2014-05-01,80,65.0,False,0.65,52.0
2014-05-02,90,65.0,,0.65,58.5
2014-05-03,95,65.0,,0.65,61.75
2014-05-04,85,65.0,,0.65,55.25
2014-05-05,78,65.0,,0.65,50.7
2014-05-06,76,65.0,,0.65,49.4
2014-05-07,76,65.0,,0.65,49.4
2014-05-08,69,65.0,,0.65,44.85
2014-05-09,85,65.0,,0.65,55.25
2014-05-10,97,65.0,,0.65,63.050000000000004
2014-05-11,91,65.0,,0.65,59.15
2014-05-12,74,65.0,,0.65,48.1
2014-05-13,73,65.0,,0.65,47.45
2014-05-14,83,65.0,,0.65,53.95
2014-05-15,77,65.0,,0.65,50.050000000000004
2014-05-16,82,65.0,,0.65,53.300000000000004
2014-05-17,89,65.0,,0.65,57.85
2014-05-18,89,65.0,,0.65,57.85
2014-05-19,74,65.0,,0.65,48.1
2014-05-20,76,65.0,,0.65,49.4
2014-05-21,75,65.0,,0.65,48.75
2014-05-22,73,65.0,,0.65,47.45
2014-05-23,79,65.0,,0.65,51.35
2014-05-24,100,65.0,,0.65,65.0
2014-05-25,78,65.0,,0.65,50.7
2014-05-26,73,65.0,,0.65,47.45
2014-05-27,74,65.0,,0.65,48.1
2014-05-28,77,65.0,,0.65,50.050000000000004
2014-05-29,73,65.0,,0.65,47.45
2014-05-30,73,65.0,,0.65,47.45
2014-05-31,91,65.0,,0.65,59.15
2014-06-01,97,65.0,False,0.65,63.050000000000004
2014-06-02,90,65.0,,0.65,58.5
2014-06-03,76,65.0,,0.65,49.4
2014-06-04,73,65.0,,0.65,47.45
2014-06-05,69,65.0,,0.65,44.85
2014-06-06,81,65.0,,0.65,52.65
2014-06-07,98,65.0,,0.65,63.7
2014-06-08,100,65.0,,0.65,65.0
2014-06-09,78,65.0,,0.65,50.7
2014-06-10,69,65.0,,0.65,44.85
2014-06-11,64,65.0,,0.65,41.6
